Acre;912
Alagoas;3061
Amapá;608
Amazonas;2749
Bahia;16856
Ceará;13743
Distrito Federal;5131
Espírito Santo;10133
Goiás;17516
Maranhão;4278
Mato Grosso;8841
Mato Grosso do Sul;5637
Minas Gerais;59511
Pará;6346
Paraíba;3916
Paraná;42100
Pernambuco;13170
Piauí;3916
Rio de Janeiro;23612
Rio Grande do Norte;6070
Rio Grande do Sul;46653
Rondônia;3454
Roraima;525
Santa Catarina;42961
São Paulo;123119
Sergipe;2922
Tocantins;2258
