Ano de Ano;Label Padro;Location (group);UF/Regiao;Measure Val
2004; padronizada por idade;States;Amapa;1
2004; padronizada por idade;States;Amazonas;1,4
2004; padronizada por idade;States;Goias;1,5
2004; padronizada por idade;States;Mato Grosso;1,6
2004; padronizada por idade;States;Para;1,6
2004; padronizada por idade;States;Santa Catarina;1,6
2004; padronizada por idade;States;Paraiba;1,8
2004; padronizada por idade;States;Parana;1,8
2004; padronizada por idade;States;Rondonia;1,8
2004; padronizada por idade;States;Sao Paulo;1,8
2004; padronizada por idade;States;Acre;1,9
2004; padronizada por idade;States;Mato Grosso do Sul;1,9
2004; padronizada por idade;States;Minas Gerais;1,9
2004; padronizada por idade;States;Maranhao;2
2004; padronizada por idade;States;Rio de Janeiro;2
2004; padronizada por idade;States;Rio Grande do Sul;2,2
2004; padronizada por idade;States;Tocantins;2,2
2004; padronizada por idade;States;Rio Grande do Norte;2,3
2004; padronizada por idade;States;Distrito Federal;2,4
2004; padronizada por idade;States;Piaui;2,5
2004; padronizada por idade;States;Bahia;2,7
2004; padronizada por idade;States;Roraima;2,7
2004; padronizada por idade;States;Sergipe;2,7
2004; padronizada por idade;States;Espirito Santo;2,8
2004; padronizada por idade;States;Pernambuco;2,8
2004; padronizada por idade;States;Alagoas;3
2004; padronizada por idade;States;Ceara;3,4
