Ano de Ano;Label Padro;Location (group);UF/Regiao;Measure Val
2000; padronizada por idade;States;Amapa;1,2
2000; padronizada por idade;States;Amazonas;1,6
2000; padronizada por idade;States;Para;1,7
2000; padronizada por idade;States;Goias;1,8
2000; padronizada por idade;States;Maranhao;1,8
2000; padronizada por idade;States;Mato Grosso;1,8
2000; padronizada por idade;States;Paraiba;1,9
2000; padronizada por idade;States;Santa Catarina;1,9
2000; padronizada por idade;States;Acre;2,1
2000; padronizada por idade;States;Minas Gerais;2,1
2000; padronizada por idade;States;Rondonia;2,1
2000; padronizada por idade;States;Mato Grosso do Sul;2,2
2000; padronizada por idade;States;Parana;2,3
2000; padronizada por idade;States;Sao Paulo;2,3
2000; padronizada por idade;States;Piaui;2,4
2000; padronizada por idade;States;Rio de Janeiro;2,4
2000; padronizada por idade;States;Tocantins;2,5
2000; padronizada por idade;States;Rio Grande do Norte;2,6
2000; padronizada por idade;States;Rio Grande do Sul;2,8
2000; padronizada por idade;States;Distrito Federal;3
2000; padronizada por idade;States;Roraima;3
2000; padronizada por idade;States;Sergipe;3,1
2000; padronizada por idade;States;Bahia;3,2
2000; padronizada por idade;States;Alagoas;3,3
2000; padronizada por idade;States;Espirito Santo;3,3
2000; padronizada por idade;States;Pernambuco;3,4
2000; padronizada por idade;States;Ceara;3,8
