Ano de Ano;Label Padro;Location (group);UF/Regiao;Measure Val
2012; padronizada por idade;States;Amapa;0,7
2012; padronizada por idade;States;Amazonas;1
2012; padronizada por idade;States;Goias;1
2012; padronizada por idade;States;Santa Catarina;1
2012; padronizada por idade;States;Sao Paulo;1
2012; padronizada por idade;States;Mato Grosso;1,1
2012; padronizada por idade;States;Para;1,1
2012; padronizada por idade;States;Parana;1,2
2012; padronizada por idade;States;Rio de Janeiro;1,2
2012; padronizada por idade;States;Rondonia;1,2
2012; padronizada por idade;States;Mato Grosso do Sul;1,3
2012; padronizada por idade;States;Minas Gerais;1,3
2012; padronizada por idade;States;Acre;1,4
2012; padronizada por idade;States;Distrito Federal;1,4
2012; padronizada por idade;States;Maranhao;1,4
2012; padronizada por idade;States;Paraiba;1,4
2012; padronizada por idade;States;Rio Grande do Sul;1,4
2012; padronizada por idade;States;Espirito Santo;1,7
2012; padronizada por idade;States;Rio Grande do Norte;1,7
2012; padronizada por idade;States;Tocantins;1,7
2012; padronizada por idade;States;Bahia;1,8
2012; padronizada por idade;States;Piaui;1,8
2012; padronizada por idade;States;Roraima;1,8
2012; padronizada por idade;States;Pernambuco;1,9
2012; padronizada por idade;States;Sergipe;1,9
2012; padronizada por idade;States;Alagoas;2
2012; padronizada por idade;States;Ceara;2,2
